"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"158",9,9,"🇨🇦","Moore-Towers / Marinaro",64.02,63.39,127.41,1.33,7.92,2019,"FINTRO","FS"
"159",10,10,"🇨🇦","Moore-Towers / Marinaro",60.14,66.8,126.94,1.06,8.36,2019,"WC","FS"
"160",11,11,"🇨🇦","Moore-Towers / Marinaro",59.27,67.17,125.44,1.54,8.39,2020,"4CC","FS"
"161",12,12,"🇨🇦","Moore-Towers / Marinaro",58.82,64.95,122.77,0.81,8.11,2022,"FINTRO","FS"
"162",13,13,"🇨🇦","Moore-Towers / Marinaro",58.57,63.39,121.96,0.77,7.89,2019,"GPJPN","FS"
"163",14,14,"🇨🇦","Moore-Towers / Marinaro",53.83,65.03,118.86,0.78,8.09,2022,"OLY","FS"
"164",15,15,"🇨🇦","Moore-Towers / Marinaro",56.01,63.76,118.77,0.7,7.96,2022,"GPRUS","FS"
"165",16,16,"🇨🇦","Moore-Towers / Marinaro",56.18,61.28,115.46,-0.05,7.66,2022,"GLDSPN","FS"
"166",17,17,"🇨🇦","Moore-Towers / Marinaro",49.12,64.7,113.82,2,8.09,2022,"GPCAN","FS"
"167",18,18,"🇨🇦","Moore-Towers / Marinaro",52.71,60.88,111.59,-0.51,7.6,2019,"ATMCLA","FS"
"168",19,19,"🇨🇦","Moore-Towers / Marinaro",41.19,35.17,76.36,2.71,8.79,2020,"4CC","SP"
"169",20,20,"🇨🇦","Moore-Towers / Marinaro",40.99,34.51,75.5,2.53,8.67,2020,"GPCAN","SP"
"170",21,21,"🇨🇦","Moore-Towers / Marinaro",40.94,33.72,74.66,2.8,8.44,2019,"4CC","SP"
"171",22,22,"🇨🇦","Moore-Towers / Marinaro",38.87,34.21,73.08,2.36,8.51,2019,"WC","SP"
"172",23,23,"🇨🇦","Moore-Towers / Marinaro",39.36,33.4,71.76,2.07,8.26,2020,"NEBTRO","SP"
"173",24,24,"🇨🇦","Moore-Towers / Marinaro",39.29,31.97,71.26,2.36,7.97,2019,"GPCAN","SP"
"174",25,25,"🇨🇦","Moore-Towers / Marinaro",37.26,33.95,71.21,2.1,8.44,2020,"GPJPN","SP"
"175",26,26,"🇨🇦","Moore-Towers / Marinaro",35.24,33.14,68.38,1.75,8.25,2019,"WTT","SP"
"176",27,27,"🇨🇦","Moore-Towers / Marinaro",35.87,31.83,67.7,1.93,7.96,2019,"GPJPN","SP"
"177",28,28,"🇨🇦","Moore-Towers / Marinaro",34.06,33.28,67.34,1.4,8.28,2022,"OLYT","SP"
"178",29,29,"🇨🇦","Moore-Towers / Marinaro",34.64,33.44,67.08,0.38,8.33,2020,"GPF","SP"
"179",30,30,"🇨🇦","Moore-Towers / Marinaro",36.15,31.37,66.52,1.35,7.79,2019,"FINTRO","SP"
"180",31,31,"🇨🇦","Moore-Towers / Marinaro",33.68,32.75,66.43,1.17,8.18,2022,"GPCAN","SP"
"181",32,32,"🇨🇦","Moore-Towers / Marinaro",34.09,30.64,64.73,1.52,7.66,2019,"ATMCLA","SP"
"182",33,33,"🇨🇦","Moore-Towers / Marinaro",29.63,33.82,63.45,1.16,8.42,2021,"WC","SP"
"183",34,34,"🇨🇦","Moore-Towers / Marinaro",31.94,32.57,62.51,0.73,8.13,2022,"OLY","SP"
"184",35,35,"🇨🇦","Moore-Towers / Marinaro",30.7,31.9,61.6,0.74,7.99,2022,"FINTRO","SP"
"185",36,36,"🇨🇦","Moore-Towers / Marinaro",30.55,30.96,61.51,0.51,7.73,2022,"GLDSPN","SP"
"186",37,37,"🇨🇦","Moore-Towers / Marinaro",28.81,31.14,58.95,-0.15,7.79,2022,"GPRUS","SP"
"187",1,1,"🇨🇦","James / Radford",66.11,64.72,130.83,1.86,8.06,2022,"GLDSPN","FS"
"188",2,2,"🇨🇦","James / Radford",63.99,66.79,130.78,1.87,8.35,2022,"WC","FS"
"189",3,3,"🇨🇦","James / Radford",64.46,65.61,130.07,1.71,8.22,2022,"OLYT","FS"
"190",4,4,"🇨🇦","James / Radford",55.29,69.21,124.5,2.4,8.67,2022,"GPFRA","FS"
"191",5,5,"🇨🇦","James / Radford",57.49,65.54,123.03,1.31,8.18,2022,"FINTRO","FS"
"192",6,6,"🇨🇦","James / Radford",58.24,65.66,122.9,1.18,8.21,2022,"GPCAN","FS"
"193",7,7,"🇨🇦","James / Radford",53.98,64.98,117.96,0.78,8.11,2022,"OLY","FS"
"194",8,8,"🇨🇦","James / Radford",55.24,62.48,115.72,0.43,7.82,2022,"ATMCLA","FS"
"195",9,9,"🇨🇦","James / Radford",38.31,33.53,71.84,2.29,8.47,2022,"GPFRA","SP"
"196",10,10,"🇨🇦","James / Radford",35.93,33.36,68.29,1.71,8.31,2022,"ATMCLA","SP"
"197",11,11,"🇨🇦","James / Radford",33.98,33.57,67.55,1.93,8.39,2022,"FINTRO","SP"
"198",12,12,"🇨🇦","James / Radford",33.8,32.74,66.54,1.37,8.17,2022,"WC","SP"
"199",13,13,"🇨🇦","James / Radford",32.1,32.92,65.02,0.58,8.25,2022,"GPCAN","SP"
"200",14,14,"🇨🇦","James / Radford",30.37,32.66,63.03,1.53,8.18,2022,"OLY","SP"
"201",15,15,"🇨🇦","James / Radford",25.62,31.12,56.74,1.54,7.77,2022,"GLDSPN","SP"
"202",1,1,"🇨🇳","Peng / Jin",70.12,71.09,141.21,3.33,8.89,2019,"GPF","FS"
"203",2,2,"🇨🇳","Peng / Jin",70.55,69.78,140.33,3.07,8.72,2019,"WC","FS"
"204",3,3,"🇨🇳","Peng / Jin",69.03,69.71,138.74,2.48,8.73,2022,"OLY","FS"
"205",4,4,"🇨🇳","Peng / Jin",68.08,69.25,137.33,2.16,8.61,2020,"4CC","FS"
"206",5,5,"🇨🇳","Peng / Jin",69.21,67.37,136.58,3.2,8.4,2019,"GPJPN","FS"
