"","","#","Nat","Skater","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"218",10,10,"🇺🇸","Vincent Zhou",89.54,88.84,177.38,0.85,8.89,2022,"NATUSA","FS"
"219",11,11,"🇺🇸","Vincent Zhou",89.24,87.5,175.74,1.26,8.74,2021,"GPUSA","FS"
"220",12,12,"🇺🇸","Vincent Zhou",88.56,83.48,172.04,1.41,8.33,2019,"4CC","FS"
"221",13,13,"🇺🇸","Vincent Zhou",85.24,86.2,171.44,0.74,8.53,2022,"OLYT","FS"
"222",14,14,"🇺🇸","Vincent Zhou",86.36,81.28,167.64,1.05,8.03,2020,"JPNOPN","FS"
"223",15,15,"🇺🇸","Vincent Zhou",76.12,85.06,161.18,0.45,8.49,2022,"GPJPN","FS"
"224",16,16,"🇺🇸","Vincent Zhou",77.59,79.2,156.79,1.06,7.91,2019,"TALTRO","FS"
"225",17,17,"🇺🇸","Vincent Zhou",72.87,76.5,149.37,0.31,7.67,2019,"GPUSA","FS"
"226",18,18,"🇺🇸","Vincent Zhou",71.66,75.86,147.52,0.36,7.57,2019,"GPJPN","FS"
"227",19,19,"🇺🇸","Vincent Zhou",63.82,80.1,142.92,-0.34,8.01,2020,"USCLA","FS"
"228",20,20,"🇺🇸","Vincent Zhou",69.6,74.3,142.9,-0.27,7.44,2019,"USCLA","FS"
"229",21,21,"🇺🇸","Vincent Zhou",64.82,47.96,112.78,3.86,9.57,2022,"NATUSA","SP"
"230",22,22,"🇺🇸","Vincent Zhou",61.49,46.3,107.79,3.55,9.23,2021,"NATUSA","SP"
"231",23,23,"🇺🇸","Vincent Zhou",60.03,42.5,102.53,3.09,8.55,2022,"CRNCUP","SP"
"232",24,24,"🇺🇸","Vincent Zhou",57.3,43.21,100.51,2.52,8.65,2019,"WTT","SP"
"233",25,25,"🇺🇸","Vincent Zhou",56.4,43.85,100.25,3.03,8.78,2019,"NATUSA","SP"
"234",26,26,"🇺🇸","Vincent Zhou",57.93,42.25,100.18,2.51,8.42,2019,"4CC","SP"
"235",27,27,"🇺🇸","Vincent Zhou",55.69,43.82,99.51,2.33,8.77,2022,"GPJPN","SP"
